"BORO_NM","ADDR_PCT_CD"
"BRONX",120
"BRONX",107
"QUEENS",7
"QUEENS",46
"QUEENS",13
"QUEENS",18
"BRONX",109
"BRONX",67
"BRONX",111
"STATEN ISLAND",105
"QUEENS",1
"MANHATTAN",68
"BROOKLYN",13
"BROOKLYN",42
"BRONX",114
"STATEN ISLAND",84
"QUEENS",17
"STATEN ISLAND",73
"BROOKLYN",52
"STATEN ISLAND",109
"STATEN ISLAND",18
"QUEENS",73
"BRONX",1
"BRONX",22
"BRONX",108
"BROOKLYN",17
"QUEENS",61
"BRONX",105
"BRONX",6
