"YEAR2","STOP_LOCATION_PRECINCT","STOPS","STOP_ARRESTS"
2012,18,2978,287
2012,19,4652,586
2012,20,3266,335
2012,22,592,26
2012,23,11095,528
2012,24,4218,410
2012,25,6373,658
2012,26,5488,443
2012,28,6707,296
2012,30,6169,621
2012,32,10764,821
2012,33,3620,240
2012,34,9675,402
2012,40,18276,1044
2012,41,8611,404
2012,42,7761,687
2012,43,10655,818
2012,44,15414,1335
2012,45,3995,323
2012,46,5628,256
2012,47,8948,629
2012,48,5430,193
2012,49,5778,349
2012,50,1832,203
2012,52,9811,446
2012,60,7785,500
2012,61,6690,193
2012,62,4471,195
2012,63,3663,197
2012,66,3435,322
2012,67,10832,302
2012,68,2557,184
2012,69,5369,168
2012,70,11248,152
2012,71,4676,354
2012,72,5199,230
2012,73,22148,513
2012,75,24408,612
2012,76,4480,284
2012,77,9934,371
2012,78,3281,99
2012,79,15294,489
2012,81,9709,376
2012,83,11811,574
2012,84,3830,205
2012,88,5948,430
2012,90,9846,475
2012,94,2092,146
2012,100,4130,234
2012,101,9770,404
2012,102,6849,822
2012,103,12986,1044
2012,104,4893,440
2012,105,8198,871
2012,106,5019,304
2012,107,4442,321
2012,108,4096,211
2012,109,9682,746
2012,110,9090,597
2012,111,3752,180
2012,112,2799,224
2012,113,8736,578
2012,114,8464,562
2012,115,8068,464
2012,120,12368,854
2012,122,6420,232
2012,123,1940,91
2013,1,1159,93
2013,5,1116,122
2013,6,1273,103
2013,7,1120,207
2013,9,2315,571
2013,10,1219,194
2013,13,1555,316
2013,14,3448,215
2013,17,493,61
2013,18,954,118
2013,19,1388,334
2013,20,1340,158
2013,22,141,16
2013,23,3787,307
2013,24,861,148
2013,25,2406,359
2013,26,1580,170
2013,28,1492,115
2013,30,2759,298
2013,32,3149,309
2013,33,2215,127
2013,34,4184,292
2013,40,4592,600
2013,41,1565,109
2013,42,2424,291
2013,43,2950,289
2013,44,3436,563
2013,45,1165,91
2013,46,1184,72
2013,47,2516,240
2013,48,950,62
2013,49,1637,106
2013,50,913,76
2013,52,1964,159
2013,60,4478,285
2013,61,2929,114
2013,62,3054,115
2013,63,1549,79
2013,66,1944,198
2013,67,4317,227
2013,68,1588,152
2013,69,2911,160
2013,70,4033,152
2013,71,2860,253
2013,72,2265,158
2013,73,8001,314
2013,75,6928,351
2013,76,2434,133
2013,77,3442,193
2013,78,1746,51
2013,79,5481,339
2013,81,2124,165
2013,83,3695,248
2013,84,2221,135
2013,88,1667,89
2013,90,2251,147
2013,94,486,54
2013,100,1736,103
2013,101,6528,234
2013,102,2355,323
2013,103,4944,382
2013,104,1480,193
2013,105,5163,306
2013,106,2831,162
2013,107,1909,169
2013,108,830,36
2013,109,3729,344
2013,110,2737,367
2013,111,1662,86
2013,112,2051,126
2013,113,3263,154
2013,114,3160,288
2013,115,1187,247
2013,120,4536,303
2013,121,823,54
2013,122,2239,94
2013,123,1034,69
2014,1,88,11
2014,5,275,60
2014,6,107,12
2014,7,333,88
2014,9,594,291
2014,10,147,45
2014,13,491,190
2014,14,557,99
2014,17,153,26
2014,18,141,7
2014,19,386,134
2014,20,287,53
2014,22,83,7
2014,23,719,221
2014,24,244,63
2014,25,762,303
2014,26,190,66
2014,28,271,44
2014,30,319,60
2014,32,416,128
2014,33,300,32
2014,34,393,92
2014,40,898,668
2014,41,1015,79
2014,42,698,245
2014,43,427,154
2014,44,1330,191
2014,45,298,41
2014,46,348,45
2014,47,362,168
2014,48,135,27
2014,49,475,59
2014,50,301,14
2014,52,536,39
2014,60,691,70
2014,61,196,15
2014,62,618,45
2014,63,232,18
2014,66,932,98
2014,67,1248,93
2014,68,109,16
2014,69,833,62
2014,70,598,34
2014,71,546,51
2014,72,195,13
2014,73,866,122
2014,75,917,183
2014,76,428,34
2014,77,373,56
2014,78,167,9
2014,79,1452,204
2014,81,266,58
2014,83,554,97
2014,84,1065,76
2014,88,346,44
2014,90,605,93
2014,94,134,20
2014,100,200,29
2014,101,1486,76
2014,102,1181,169
2014,103,325,35
2014,104,497,122
2014,105,1708,184
2014,106,2228,145
2014,107,1366,139
2014,108,166,12
2014,109,871,107
2014,110,239,52
2014,111,524,37
2014,112,650,42
2014,113,676,57
2014,114,1018,129
2014,115,205,29
2014,120,1934,97
2014,121,1817,66
2014,122,925,28
2014,123,321,70
2015,1,45,4
2015,5,187,27
2015,6,27,3
2015,7,165,29
2015,9,261,94
2015,10,112,9
2015,13,331,119
2015,14,311,55
2015,17,121,21
2015,18,100,11
2015,19,250,110
2015,20,150,28
2015,22,38,4
2015,23,340,41
2015,24,173,39
2015,25,411,127
2015,26,97,25
2015,28,153,16
2015,30,117,20
2015,32,337,81
2015,33,89,9
2015,34,124,14
2015,40,927,540
2015,41,527,79
2015,42,375,153
2015,43,405,181
2015,44,461,63
2015,45,262,28
2015,46,189,27
2015,47,545,213
2015,48,100,21
2015,49,581,105
2015,50,165,13
2015,52,216,21
2015,60,488,99
2015,61,99,22
2015,62,256,47
2015,63,171,8
2015,66,468,89
2015,67,769,40
2015,68,70,10
2015,69,167,19
2015,70,557,30
2015,71,252,32
2015,72,149,20
2015,73,285,47
2015,75,543,78
2015,76,170,26
2015,77,143,18
2015,78,83,7
2015,79,582,60
2015,81,119,8
2015,83,241,64
2015,84,271,33
2015,88,104,23
2015,90,292,29
2015,94,77,11
2015,100,158,17
2015,101,175,30
2015,102,621,63
2015,103,160,13
2015,104,131,32
2015,105,511,106
2015,106,1481,126
2015,107,570,41
2015,108,92,5
2015,109,221,46
2015,110,192,67
2015,111,199,25
2015,112,175,8
2015,113,163,13
2015,114,738,75
2015,115,132,20
2015,120,557,38
2015,121,725,39
2015,122,387,24
2015,123,127,30
2016,1,60,7
2016,5,95,24
2016,6,37,11
2016,7,75,21
2016,9,106,32
2016,10,79,17
2016,13,108,31
2016,14,136,24
2016,17,57,8
2016,18,112,16
2016,19,108,39
2016,20,38,3
2016,22,45,1
2016,23,380,81
2016,24,132,26
2016,25,234,55
2016,26,71,17
2016,28,113,30
2016,30,117,19
2016,32,215,64
2016,33,65,20
2016,34,133,21
2016,40,375,172
2016,41,161,31
2016,42,185,80
2016,43,303,103
2016,44,125,13
2016,45,78,22
2016,46,129,24
2016,47,201,65
2016,48,90,24
2016,49,566,70
2016,50,106,11
2016,52,140,16
2016,60,278,144
2016,61,88,34
2016,62,125,27
2016,63,80,4
2016,66,237,66
2016,67,269,17
2016,68,86,17
2016,69,25,6
2016,70,108,16
2016,71,192,36
2016,72,124,45
2016,73,186,35
2016,75,330,27
2016,76,131,53
2016,77,130,23
2016,78,96,18
2016,79,238,30
2016,81,129,20
2016,83,111,27
2016,84,209,32
2016,88,64,9
2016,90,247,46
2016,94,73,9
2016,100,83,17
2016,101,109,25
2016,102,104,8
2016,103,102,23
2016,104,43,3
2016,105,223,66
2016,106,1264,136
2016,107,40,4
2016,108,53,9
2016,109,250,40
2016,110,121,60
2016,111,127,33
2016,112,70,11
2016,113,113,18
2016,114,382,62
2016,115,136,48
2016,120,219,36
2016,121,95,16
2016,122,249,57
2016,123,90,32
2017,1,47,6
2017,5,108,51
2017,6,53,16
2017,7,110,52
2017,9,181,81
2017,10,71,27
2017,13,195,98
2017,14,102,18
2017,17,43,15
2017,18,57,21
2017,19,128,37
2017,20,55,19
2017,22,25,2
2017,23,346,115
2017,24,168,50
2017,25,191,64
2017,26,77,32
2017,28,145,54
2017,30,87,22
2017,32,191,83
2017,33,199,63
2017,34,192,52
2017,40,372,114
2017,41,87,20
2017,42,283,100
2017,43,103,38
2017,44,286,82
2017,45,115,16
2017,46,279,95
2017,47,169,52
2017,48,219,45
2017,49,280,96
2017,50,50,10
2017,52,230,61
2017,60,186,78
2017,61,152,58
2017,62,107,47
2017,63,172,32
2017,66,52,10
2017,67,244,46
2017,68,85,36
2017,69,166,53
2017,70,109,33
2017,71,200,31
2017,72,150,60
2017,73,241,68
2017,75,102,16
2017,76,89,43
2017,77,203,41
2017,78,81,17
2017,79,237,57
2017,81,132,29
2017,83,128,23
2017,84,165,55
2017,88,82,15
2017,90,150,42
2017,94,95,33
2017,100,99,36
2017,101,100,16
2017,102,68,10
2017,103,159,25
2017,104,106,32
2017,105,162,35
2017,106,211,36
2017,107,65,10
2017,108,75,22
2017,109,162,19
2017,110,139,70
2017,111,75,29
2017,112,57,15
2017,113,116,20
2017,114,350,111
2017,115,135,39
2017,120,200,67
2017,121,120,33
2017,122,164,70
2017,123,62,23
2017,208760,1,0
2017,NA,431,113
2018,1,99,26
2018,5,87,22
2018,6,103,61
2018,7,138,37
2018,9,118,38
2018,10,83,32
2018,13,181,74
2018,14,91,28
2018,17,31,15
2018,18,96,20
2018,19,217,87
2018,20,71,38
2018,22,24,4
2018,23,347,81
2018,24,184,81
2018,25,223,44
2018,26,97,47
2018,28,108,25
2018,30,103,20
2018,32,140,49
2018,33,128,28
2018,34,188,44
2018,40,311,104
2018,41,72,23
2018,42,254,61
2018,43,396,110
2018,44,221,72
2018,45,103,14
2018,46,269,80
2018,47,104,22
2018,48,207,47
2018,49,142,38
2018,50,45,8
2018,52,207,47
2018,60,174,62
2018,61,137,44
2018,62,97,34
2018,63,163,38
2018,66,55,3
2018,67,289,64
2018,68,50,15
2018,69,157,44
2018,70,115,30
2018,71,179,22
2018,72,193,41
2018,73,283,68
2018,75,432,85
2018,76,94,27
2018,77,143,33
2018,78,109,48
2018,79,230,47
2018,81,123,32
2018,83,146,44
2018,84,133,45
2018,88,109,43
2018,90,152,29
2018,94,69,14
2018,100,106,36
2018,101,63,17
2018,102,77,19
2018,103,221,22
2018,104,64,5
2018,105,132,25
2018,106,70,21
2018,107,103,32
2018,108,77,24
2018,109,97,23
2018,110,139,72
2018,111,101,27
2018,112,76,35
2018,113,102,17
2018,114,254,125
2018,115,166,54
2018,120,122,44
2018,121,116,40
2018,122,66,34
2018,123,36,4
NA,NA,1,NA
