year,pct,stops,stop_arrests,arrests,crimes,Latitude,Longitude,population,policy,nonstop_arrests,crimerate,nonstop_arrestrate,stoprate,stop_arrestrate,arrestrate,normal_year,log_crimerate,log_nonstop_arrestrate,log_stoprate,log_stop_arrestrate,log_arrestrate,log_nonstop_arrests,log_arrests,log_population,log_stops,log_stop_arrests,log_crimes
2006,1,1967,46,4024,6279,40.71257748983047,-74.00930744818399,66679,1,3978,94.16757899788539,59.658963091828014,29.499542584621842,0.6898723736108819,60.348835465438896,1,4.545075950344573,4.08864439864438,3.3843747576195216,-0.3712486642804423,4.100141651010038,8.288534459413917,8.300031711779575,11.107645339751674,7.584264818389059,3.828641396489095,8.744966011114109
2007,1,1887,117,4797,6762,40.71257748983047,-74.00930744818399,66679,1,4680,101.41123892079965,70.18701540215059,28.29976454355944,1.754675385053765,71.94169078720438,2,4.619183922498294,4.251163328142155,3.3428534845990128,0.5622838740282189,4.2758559407325265,8.451053388911692,8.475746001502063,11.107645339751674,7.54274354536855,4.762173934797756,8.819073983267831
2008,1,2506,221,5008,6614,40.71257748983047,-74.00930744818399,66679,1,4787,99.1916495448342,71.79171853207157,37.58304713627979,3.3143868384348893,75.10610537050646,3,4.597053832772201,4.2737691286229715,3.6265530746864765,1.1982726407482156,4.318901852010397,8.473659189392508,8.518791912779934,11.107645339751674,7.826443135456014,5.3981627015177525,8.796943893541737
2009,1,2585,238,5371,6280,40.71257748983047,-74.00930744818399,66679,1,5133,94.18257622339867,76.98075855966647,38.76782795182891,3.5693396721606505,80.5500982318271,4,4.5452351986927075,4.343555501790766,3.6575907261729923,1.2723806129019375,4.388879329135922,8.543445562560303,8.58876938990546,11.107645339751674,7.85748078694253,5.472270673671475,8.745125259462244
2010,1,2446,260,4950,5895,40.71257748983047,-74.00930744818399,66679,1,4690,88.40864440078586,70.3369876572834,36.68321360548298,3.8992786334528113,74.23626629073621,5,4.481969752201934,4.253297800670788,3.6023192554775805,1.3607915702459905,4.3072527947931984,8.453187861440325,8.507142855562735,11.107645339751674,7.802209316247118,5.560681631015528,8.68185981297147
2011,1,3626,215,5583,5955,40.71257748983047,-74.00930744818399,66679,1,5368,89.30847793158266,80.50510655528727,54.37993971115344,3.2244034853552095,83.72951004064248,6,4.4920964210198635,4.3883206178819805,3.9959953305452593,1.1707479673581256,4.427591484540823,8.588210678651517,8.62748154531036,11.107645339751674,8.195885391314796,5.3706380281276624,8.691986481789401
2012,1,3053,189,5479,6287,40.71257748983047,-74.00930744818399,66679,1,5290,94.28755680199163,79.33532296525144,45.786529492043975,2.8344756220099283,82.16979858726135,7,4.546349227613524,4.3736834640828075,3.8239899319653405,1.0418569542901053,4.408787820768879,8.573573524852344,8.608677881538416,11.107645339751674,8.023879992734878,5.241747015059643,8.74623928838306
2013,1,1159,93,4778,6055,40.71257748983047,-74.00930744818399,66679,0,4685,90.80820048291066,70.262001529717,17.38178436989157,1.394741972735044,71.65674350245204,8,4.5087495952176555,4.252231133902986,2.8554227825702143,0.33270943238371875,4.271887267116218,8.452121194672523,8.471777327885755,11.107645339751674,7.055312843339752,4.532599493153256,8.708639655987193
2014,1,88,11,4676,5636,40.71257748983047,-74.00930744818399,66679,0,4665,84.52436299284632,69.96205701945141,1.3197558451686437,0.16496948064608047,70.12702650009749,9,4.437039812249034,4.247953052511907,0.2774467537086692,-1.8019947879711666,4.250308261822422,8.447843113281444,8.450198322591959,11.107645339751674,4.477336814478207,2.3978952727983707,8.636929873018572
2015,1,45,4,4119,5655,40.71257748983047,-74.00930744818399,66679,0,4115,84.80931027759864,61.71358298714738,0.674875148097602,0.05998890205312017,61.7735718892005,10,4.440405327780684,4.122504052341633,-0.39322757099921746,-2.8135956996496465,4.123475633666543,8.32239411311117,8.323365694436081,11.107645339751674,3.8066624897703196,1.3862943611198906,8.640295388550221
