"YEAR","ARREST_PRECINCT","ARRESTS"
2011,26,3324
2011,28,5742
2011,30,4514
2011,32,6823
2011,33,5704
2011,34,5957
2011,40,10753
2011,41,8007
2011,42,7209
2011,43,12381
2011,44,15078
2011,45,3406
2011,46,9686
2011,47,6880
2011,48,6731
2011,49,3519
2011,50,2538
2011,52,10690
2011,60,4562
2011,61,3194
2011,62,2471
2011,63,2443
2011,66,1651
2011,67,6598
2011,68,2313
2011,69,3158
2011,70,5600
2011,71,5724
2011,72,3631
2011,73,14326
2011,75,15748
2011,76,1838
2011,77,6957
2011,78,1494
2011,79,7767
2011,81,5918
2011,83,7737
2011,84,5220
2011,88,3092
2011,90,4686
2011,94,1637
2011,100,2072
2011,101,3568
2011,102,3925
2011,103,8422
2011,104,4818
2011,105,4595
2011,106,3728
2011,107,3101
2011,108,2872
2011,109,5652
2011,110,6076
2011,111,1805
2011,112,2551
2011,113,7164
2011,114,5565
2011,115,7351
2011,120,8601
2011,122,3940
2011,123,1484
2012,1,5479
2012,5,5960
2012,6,4174
2012,7,4124
2012,9,4367
2012,10,2895
2012,13,5628
2012,14,13328
2012,17,2067
2012,18,5278
2012,19,3410
2012,20,2030
2012,22,586
2012,23,5696
2012,24,3194
2012,25,9392
2012,26,3574
2012,28,5977
2012,30,4506
2012,32,6102
2012,33,5114
2012,34,5998
2012,40,11319
2012,41,7388
2012,42,6354
2012,43,10433
2012,44,13322
2012,45,3167
2012,46,8811
2012,47,6601
2012,48,6729
2012,49,3922
2012,50,2170
2012,52,9747
2012,60,4142
2012,61,3314
2012,62,2476
2012,63,2499
2012,66,1769
2012,67,7327
2012,68,2067
2012,69,3237
2012,70,5108
2012,71,5012
2012,72,3555
2012,73,12752
2012,75,15232
2012,76,2227
2012,77,6232
2012,78,1803
2012,79,7795
2012,81,5775
2012,83,7213
2012,84,4428
2012,88,3399
2012,90,4144
2012,94,1816
2012,100,1875
2012,101,3342
2012,102,3926
2012,103,8607
2012,104,4561
2012,105,4486
2012,106,3952
2012,107,3115
2012,108,2264
2012,109,5313
2012,110,5675
2012,111,1671
2012,112,2647
2012,113,7612
2012,114,5431
2012,115,6620
2012,120,7850
2012,122,3805
2012,123,1364
2013,1,4778
2013,5,6121
2013,6,4499
2013,7,3818
2013,9,4037
2013,10,3634
2013,13,5762
2013,14,14377
2013,17,2092
2013,18,5619
2013,19,3154
2013,20,2109
2013,22,463
2013,23,5700
2013,24,2974
2013,25,9822
2013,26,3610
2013,28,5891
2013,30,4799
2013,32,5580
2013,33,5450
2013,34,5392
2013,40,11296
2013,41,7224
2013,42,6322
2013,43,8127
2013,44,12494
2013,45,2824
2013,46,7853
2013,47,6659
2013,48,7175
2013,49,4448
2013,50,2078
2013,52,9357
2013,60,4392
2013,61,3329
2013,62,2384
2013,63,2339
2013,66,1871
2013,67,6993
2013,68,2293
2013,69,3112
2013,70,5153
2013,71,4921
2013,72,3550
2013,73,11018
2013,75,14713
2013,76,1839
2013,77,6243
2013,78,2302
2013,79,7802
2013,81,5339
2013,83,6398
2013,84,4298
2013,88,2686
2013,90,4573
2013,94,2023
2013,100,1859
2013,101,3394
2013,102,4502
2013,103,9763
2013,104,4421
2013,105,5080
2013,106,4403
2013,107,3309
2013,108,2970
2013,109,5326
2013,110,5865
2013,111,1673
2013,112,2688
2013,113,8041
2013,114,5772
2013,115,6913
2013,120,5989
2013,121,2207
2013,122,3047
2013,123,1478
2014,1,4676
2014,5,6046
2014,6,4476
2014,7,3368
2014,9,3926
2014,10,3107
2014,13,5641
2014,14,14873
2014,17,1969
2014,18,6231
2014,19,2954
2014,20,2249
2014,22,394
2014,23,5502
2014,24,2843
2014,25,9689
2014,26,2689
2014,28,5421
2014,30,4132
2014,32,5315
2014,33,4863
2014,34,5795
2014,40,12718
2014,41,7419
2014,42,6361
2014,43,8198
2014,44,10824
2014,45,3004
2014,46,8090
2014,47,6590
2014,48,6724
2014,49,4243
2014,50,2129
2014,52,9380
2014,60,4670
2014,61,3331
2014,62,2947
2014,63,2277
2014,66,1984
2014,67,7511
2014,68,2316
2014,69,3788
2014,70,5401
2014,71,5075
2014,72,3589
2014,73,10494
2014,75,13781
2014,76,1763
2014,77,5725
2014,78,2244
2014,79,6573
2014,81,4827
2014,83,5528
2014,84,4489
2014,88,2721
2014,90,3887
2014,94,1756
2014,100,2358
2014,101,4254
2014,102,3916
2014,103,9883
2014,104,4382
2014,105,4951
2014,106,3774
2014,107,3228
2014,108,2800
2014,109,5038
2014,110,5664
2014,111,1432
2014,112,2604
2014,113,8640
2014,114,5938
2014,115,7072
2014,120,4554
2014,121,4874
2014,122,2294
2014,123,1555
2015,1,4119
2015,5,5423
2015,6,3799
2015,7,3305
2015,9,3862
2015,10,3091
2015,13,5937
2015,14,12899
2015,17,1508
2015,18,5356
2015,19,2830
2015,20,1876
2015,22,419
2015,23,5141
2015,24,2730
2015,25,7407
2015,26,2453
2015,28,4245
2015,30,3709
2015,32,5096
2015,33,4175
2015,34,4530
2015,40,12116
2015,41,6531
2015,42,5713
2015,43,6540
2015,44,10450
2015,45,2861
2015,46,6383
2015,47,5740
2015,48,6133
2015,49,3682
2015,50,1986
2015,52,7324
2015,60,4974
2015,61,2810
2015,62,2770
2015,63,2183
2015,66,2038
2015,67,6754
2015,68,2144
2015,69,2985
2015,70,4384
2015,71,4733
2015,72,3143
2015,73,8960
2015,75,11830
2015,76,1630
2015,77,4387
2015,78,2420
2015,79,5087
2015,81,3940
2015,83,4331
2015,84,4351
2015,88,2316
2015,90,3608
2015,94,1413
2015,100,2110
2015,101,3180
2015,102,3736
2015,103,8979
2015,104,3543
2015,105,3937
2015,106,3421
2015,107,2826
2015,108,2401
2015,109,4474
2015,110,5467
2015,111,1472
2015,112,2234
2015,113,7027
2015,114,5265
2015,115,5720
2015,120,3966
2015,121,3772
2015,122,1941
2015,123,1439
2016,1,3787
2016,5,5423
2016,6,2851
2016,7,2871
2016,9,3451
2016,10,2909
2016,13,4556
2016,14,11172
2016,17,1542
2016,18,4782
2016,19,2905
2016,20,1803
2016,22,222
2016,23,4776
2016,24,2371
2016,25,6656
2016,26,2174
2016,28,4166
2016,30,3254
2016,32,5187
2016,33,3977
2016,34,4454
2016,40,10358
2016,41,6133
2016,42,5917
2016,43,6108
2016,44,8765
2016,45,2757
2016,46,5663
2016,47,5564
2016,48,5718
2016,49,3794
2016,50,2058
2016,52,6377
2016,60,4538
2016,61,2676
2016,62,2549
2016,63,2294
2016,66,2031
2016,67,5832
2016,68,2625
2016,69,2801
2016,70,3840
2016,71,4316
2016,72,3260
2016,73,7858
2016,75,10194
2016,76,2298
2016,77,4351
2016,78,2378
2016,79,4527
2016,81,3747
2016,83,3736
2016,84,4331
2016,88,2528
2016,90,3444
2016,94,1453
2016,100,2073
2016,101,2895
2016,102,4354
2016,103,6488
2016,104,2998
2016,105,3799
2016,106,3354
2016,107,2685
2016,108,2042
2016,109,4249
2016,110,4457
2016,111,1572
2016,112,1909
2016,113,6750
2016,114,5758
2016,115,5029
2016,120,4851
2016,121,3749
2016,122,2176
2016,123,1568
